trial_id,worker_id,gpu,timestamp,duration_sec,status,count_mse,count_mae,best_conf,count_mse_true_mean,count_mse_pred_mean,n_val_images,mAP50,model,imgsz,batch,optimizer,lr0,lrf,momentum,weight_decay,warmup_epochs,cos_lr,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,fliplr,flipud,mosaic,mixup,copy_paste,erasing,close_mosaic,dropout,error
1776404030059_w0_0056,0,0,2026-04-17 00:33:50,587.54,ok,4.188118811881188,1.495049504950495,0.25,16.425742574257427,16.73267326732673,101,0.8997213285449875,yolo26m.pt,1280,16,SGD,0.01,0.05,0.937,0.001,1.0,True,7.5,0.5,1.5,0.0,0.3,0.4,0.0,0.1,0.8,0.0,0.1,0.5,0.0,0.0,0.0,10,0.0,
1776404618216_w0_0057,0,0,2026-04-17 00:43:38,304.53,ok,4.445544554455446,1.6534653465346534,0.25,16.425742574257427,16.15841584158416,101,0.887565269154025,yolo26s.pt,1280,16,SGD,0.001,0.1,0.95,0.0,5.0,True,5.0,1.0,0.5,0.015,0.5,0.4,0.0,0.0,0.25,0.0,0.1,0.5,0.0,0.0,0.2,5,0.3,
1776404923277_w0_0058,0,0,2026-04-17 00:48:43,591.43,ok,4.247524752475248,1.5940594059405941,0.25,16.425742574257427,16.475247524752476,101,0.904818053409992,yolo26m.pt,1280,16,auto,0.01,0.01,0.95,0.001,5.0,True,5.0,0.25,0.5,0.015,0.5,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.0,0.0,0.2,5,0.3,
1776405515369_w0_0059,0,0,2026-04-17 00:58:35,310.12,ok,3.4257425742574257,1.4059405940594059,0.3,16.425742574257427,16.14851485148515,101,0.8940039825315268,yolo26s.pt,1280,16,auto,0.001,0.1,0.95,0.001,1.0,True,10.0,0.5,1.5,0.015,0.3,0.4,5.0,0.0,0.8,0.0,0.1,0.5,0.0,0.0,0.0,10,0.2,
1776405826036_w0_0060,0,0,2026-04-17 01:03:46,591.23,ok,3.5742574257425743,1.4356435643564356,0.25,16.425742574257427,16.237623762376238,101,0.9073648497834474,yolo26m.pt,1280,16,auto,0.01,0.05,0.95,0.0,5.0,True,10.0,0.5,0.5,0.0,0.5,0.4,0.0,0.1,0.25,0.0,0.1,0.5,0.0,0.0,0.2,5,0.2,
1776406417921_w0_0061,0,0,2026-04-17 01:13:37,594.25,ok,3.594059405940594,1.4158415841584158,0.25,16.425742574257427,16.435643564356436,101,0.9029026201688312,yolo26m.pt,1280,16,auto,0.01,0.1,0.937,0.0,1.0,True,5.0,0.25,1.5,0.0,0.3,0.4,0.0,0.1,0.8,0.0,0.1,0.5,0.25,0.0,0.0,10,0.3,
1776407012826_w0_0062,0,0,2026-04-17 01:23:32,312.71,ok,3.3366336633663365,1.4356435643564356,0.25,16.425742574257427,16.138613861386137,101,0.9001112433468633,yolo26s.pt,1280,16,auto,0.003,0.1,0.937,0.001,1.0,True,10.0,1.0,0.5,0.0,0.5,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.25,0.0,0.0,5,0.0,
1776407326073_w0_0063,0,0,2026-04-17 01:28:46,595.19,ok,4.306930693069307,1.613861386138614,0.25,16.425742574257427,16.495049504950494,101,0.9022389688705301,yolo26m.pt,1280,16,auto,0.01,0.05,0.95,0.001,5.0,True,10.0,1.0,1.5,0.0,0.3,0.4,5.0,0.1,0.8,0.0,0.1,0.5,0.0,0.0,0.2,5,0.0,
1776407921929_w0_0064,0,0,2026-04-17 01:38:41,317.48,ok,4.099009900990099,1.603960396039604,0.3,16.425742574257427,16.168316831683168,101,0.8899791452885687,yolo26s.pt,1280,16,auto,0.001,0.1,0.937,0.001,1.0,True,10.0,0.5,1.5,0.015,0.5,0.4,0.0,0.1,0.8,0.0,0.1,0.5,0.25,0.0,0.2,5,0.3,
1776408239940_w0_0065,0,0,2026-04-17 01:43:59,306.37,ok,4.871287128712871,1.6633663366336633,0.3,16.425742574257427,16.04950495049505,101,0.8953927110617986,yolo26s.pt,1280,16,auto,0.01,0.01,0.937,0.0,5.0,True,7.5,0.25,0.5,0.0,0.5,0.4,0.0,0.1,0.25,0.0,0.1,0.5,0.0,0.0,0.0,10,0.0,
